Name,State,Latitude,Longitude,Status,Commodity Group,,,,,
Abercorn,QLD,-25.1351,151.1312,Mineral deposit,High Purity Alumina,,,,,
Adamsfield,TAS,-42.7279,146.3296,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel,,,,,
Agricola,SA,-36.1867,139.6796,Operating mine,Magnesium,,,,,
Albany,WA,-34.6968,118.5312,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Ambergate,WA,-34.0271,115.1290,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Andover,WA,-20.8545,117.1182,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Anduramba,QLD,-27.1409,152.1079,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Ant Hill,WA,-22.0909,120.5950,Mine - care and maintenance,Manganese Ore,,,,,
Anthony,QLD,-22.3107,147.2816,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Area 55,NT,-13.0139,130.9674,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Arrowmith Central,WA,-29.6561,115.1692,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Arrowsmith North,WA,-29.5129,115.1104,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Atacama,SA,-30.7906,132.2773,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Atlas,WA,-30.5382,115.2489,Mine - under development,"Heavy mineral sands - Titanium, Zirconium",,,,,
Atlas-Campaspe,NSW,-33.8833,143.3500,Operating mine,"Heavy mineral sands - Titanium, Zirconium",,,,,
Attunga,NSW,-30.9167,150.9337,Mineral deposit,"Tungsten, Molybdenum",,,,,
Australian Vanadium,WA,-26.9676,118.6463,Mine - under development,"Titanium, Vanadium",,,,,
Avebury,TAS,-41.9201,145.2485,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Avonbank,VIC,-36.6370,142.3089,Mine - under development,"Heavy mineral sands - Titanium, Zirconium, REE",,,,,
Baal Gammon,QLD,-17.3805,145.3269,Mine - care and maintenance,Indium,,,,,
Balcanoona,SA,-30.5271,139.3000,Mineral deposit,Magnesium,,,,,
Bald Hill,WA,-31.5198,122.1785,Operating mine,Lithium +/- Tantalum +/- Niobium,,,,,
Balla Balla,WA,-20.7660,117.7757,Mineral deposit,"Titanium, Vanadium",,,,,
Balranald,NSW,-34.4599,143.4612,Mine - under development,"Heavy mineral sands - Titanium, Zirconium",,,,,
Bandalup,WA,-33.6086,120.3583,Mineral deposit,Magnesium,,,,,
Barbara,QLD,-20.4206,139.8517,Mine - care and maintenance,Cobalt,,,,,
Barnes Hill,TAS,-41.2212,146.7726,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Barrambie,WA,-27.4332,119.1211,Mine - under development,"Titanium, Vanadium",,,,,
Barrow Creek,NT,-21.5167,134.1500,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Barton,SA,-30.5293,132.6789,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Basil,NT,-23.4129,135.3134,Mineral deposit,Cobalt,,,,,
Beharra,WA,-29.4360,115.1115,Mineral deposit,Silicon (High purity silica/quartz),,,,,
Ben Lomond,QLD,-19.3770,146.3000,Mineral deposit,Molybdenum +/- Rhenium,,,,,
Beta Hunt,WA,-31.2403,121.6939,Operating mine,Nickel +/- Cobalt +/- PGE,,,,,
Beyondie,WA,-23.1187,120.5514,Mineral deposit,Manganese Ore,,,,,
Bidaminna,WA,-31.1005,115.6034,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE",,,,,
Bielsdown,NSW,-30.2256,152.7203,Mineral deposit,Antimony,,,,,
Big Hill-Cookes Creek,WA,-21.6558,120.4625,Mineral deposit,Tungsten,,,,,
Bigrlyi,NT,-22.2202,131.0432,Mineral deposit,Vanadium,,,,,
Birthday Gift-Triangle,NSW,-33.4838,142.9037,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium",,,,,
Black Swan,WA,-30.3934,121.6520,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE,,,,,
Blackwater,TAS,-41.1101,144.9469,Operating mine,Silicon (High purity silica/quartz),,,,,
Blue Spec,WA,-21.8209,120.2730,Mine - under development,Antimony,,,,,
Bold Head,TAS,-40.0260,144.0669,Mineral deposit,Tungsten,,,,,
Boonanarring,WA,-31.2237,115.8346,Operating mine,"Heavy mineral sands - Titanium, Zirconium",,,,,
Bootu Creek,NT,-18.6998,134.1258,Mine - care and maintenance,Manganese Ore,,,,,
Bowry Creek,TAS,-41.5584,145.1710,Mineral deposit,Magnesium,,,,,
Broadhurst,WA,-22.2293,122.2180,Mineral deposit,Cobalt,,,,,
Brockman,WA,-18.3209,127.7837,Mineral deposit,"REE, Zirconium, Niobium, +/- Hafnium, Lithium, Tantalum, Gallium",,,,,
Broken Hill,NSW,-32.0564,141.7906,Mineral deposit,Cobalt,,,,,
Broken Hill Cobalt,NSW,-32.0930,141.1938,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
Brolga,QLD,-23.0302,150.3000,Mineral deposit,Nickel +/- Cobalt +/- PGE,,,,,
